Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
182,tt0233856,2021-02-17,2021-02-17,"Faltu movie, no logic, for fun, its ok.
Mostly good for its music.

Teri chunaria...

Hata sawan ki ghata...

Chupke se koi...

Hello brother....",Hello Brother,https://www.imdb.com/title/tt0233856/,movie,4.7,139,1999,"Action, Comedy, Fantasy, Romance",4144,1999-09-10,Sohail Khan
183,tt0102844,2021-02-17,2021-03-08,"Ilu Ilu, Ilu Ilu, Ilu ka matlab I L U, I Love You... super song. [link=nm0542317]",Saudagar,https://www.imdb.com/title/tt0102844/,movie,6.8,213,1991,"Action, Drama, Romance",1363,1991-08-09,Subhash Ghai
184,tt0098168,2021-02-17,2021-03-08,"My name is lakkhan... good song.

Personal favorite... Tera naam liya ho, tujhe yaad kya hoo tera naam liya tujhe yaad kya... [link=nm0542317]",Ram Lakhan,https://www.imdb.com/title/tt0098168/,movie,6.8,174,1989,"Action, Comedy, Drama, Musical, Romance",2525,1989-01-27,Subhash Ghai
185,tt0084324,2021-02-17,2021-02-17,"Zindagi har kadam ek nayi jung hai... I love the movie, its gloomy and revenge moody. The song is hot blooded one.",Meri Jung,https://www.imdb.com/title/tt0084324/,movie,7.3,164,1985,"Action, Drama",1292,1985-08-11,Subhash Ghai
186,tt0102071,2021-02-17,2021-02-17,"Ek doosre se karte hai pyar hum...

Jumma chumma... cult hit of the 90s",Hum,https://www.imdb.com/title/tt0102071/,movie,6.8,184,1991,"Action, Comedy, Drama",2913,1991-02-01,Mukul Anand
187,tt0113455,2021-02-18,2021-03-16,Cult hit... Chinai chun chun...,Jallaad,https://www.imdb.com/title/tt0113455/,movie,5.8,144,1995,"Action, Drama",177,1995-09-15,T.L.V. Prasad
188,tt0063404,2021-02-18,2021-02-23,"Meri samne wali khidki par ek chand ka tukda rehta hai...

Ekk chatur nar...

Meri pyari bindu...

My most favorite song, Kishore Kumar's... Kehna hai, kehna hai, aaj yeh tumse pehli baar ho...",Padosan,https://www.imdb.com/title/tt0063404/,movie,8.1,157,1968,"Comedy, Musical, Romance",6655,1968-11-29,Jyoti Swaroop
189,tt0361764,2021-02-18,2021-03-16,"Dil Ki Haalat Kisko Bataaye
Hum Bhi Pagal Tum Bhi Pagal...",Janata Ki Adalat,https://www.imdb.com/title/tt0361764/,movie,5.2,,1994,Musical,36,,T.L.V. Prasad
190,tt0113933,2021-02-19,2021-02-19,Sambhala hai maine bohot apni dil ko...,Naaraaz,https://www.imdb.com/title/tt0113933/,movie,4.5,128,1994,"Action, Crime, Drama",141,1994-08-19,Mahesh Bhatt
191,tt0118957,2021-02-19,2021-03-16,"One of my most favorite movies, among top 10.

Head ya tale, pyar mohabbat dil ka khel

O mummy mummy, o daddy daddy, ho jao readdy... what a song

My favorite one... Tere bina dil, lagta nahin, o meri jaan, kya karun keya karun... Tu jo nahin kuch bhi nahin...

Laxmikant-Pyarelal duo music. 10/10",Deewana Mastana,https://www.imdb.com/title/tt0118957/,movie,6.7,140,1997,"Comedy, Romance",2600,1997-09-23,David Dhawan
192,tt0066763,2021-02-19,2021-02-19,"Zindagi, kaisi hai paheli haye, kabhi yeh hasaye, kabhi yeh rulaye... heart touching song. The man in purple panjabi/kurta roaming at the beach. And some children with colorful balloons. Manna Dey.",Anand,https://www.imdb.com/title/tt0066763/,movie,8.2,122,1971,"Drama, Musical",32941,1971-03-12,Hrishikesh Mukherjee
193,tt0109117,2021-02-23,2021-03-01,"Though many people hate this movie's songs. But I love every song because all the songs are ancient style, it reminds me of old black and white songs. I love most... Eloji sanam hum aaa gaye aaj fir dil leke... What a location and picturization. The vocalist is also unknown.

And the movie? Let it be untold. Everyone knows it.",Andaz Apna Apna,https://www.imdb.com/title/tt0109117/,movie,8.1,160,1994,"Action, Comedy, Romance",51857,1994-11-04,Rajkumar Santoshi
194,tt0286672,2021-02-26,2021-02-26,Raah mein unse mulaqat ho gayi...,Haqeeqat,https://www.imdb.com/title/tt0286672/,movie,4.6,166,1995,"Action, Drama, Romance",342,1995-12-20,Kuku Kohli
195,tt0262527,2021-03-01,2021-03-16,"Chand kahoon, phool kahoon, subha kahoon ya shaam, kya rakhoon tera naam, jisse dunya karen salaam... personal favorite

Ankhon Mein Akeli Raaton Mein... what a view, favorite song

Hero hai heroin hai, villain hai, shooting hai camera nahin, badi mushkil hai... funny song (multi singer-song)

One of my most favorite movies. Hrishikesh Mukherjee is one of the greatest directors. The music is from Anand-Milind. Every song is melodious and charming. I love the movie and music both. 10/10",Jhooth Bole Kauwa Kaate,https://www.imdb.com/title/tt0262527/,movie,5.7,148,1998,"Comedy, Romance",795,1998-11-23,Hrishikesh Mukherjee
196,tt0096252,2021-03-01,2021-03-01,"Ek do teen... cult hit

So gaya yeh jahan so gaya asman... lonely night as well as journey song. Personal fav.

Favorite lines... Hum paaas bhi hai aur door bhi hai, azaad bhi hai, majboor bhi hai...",Tezaab,https://www.imdb.com/title/tt0096252/,movie,7.0,173,1988,"Action, Drama, Romance",2117,1988-11-11,N. Chandra
197,tt0102636,2021-03-01,2021-03-01,"Tumse milke aisa laga tumse milke arman hue poore dilke, aye meri jaane bafwa...",Parinda,https://www.imdb.com/title/tt0102636/,movie,7.8,154,1989,"Action, Crime, Drama, Romance",3275,1989-11-03,Vidhu Vinod Chopra
198,tt0110438,2021-03-02,2021-03-02,"Churake dil mera goriya chali...

Paas woh aane lage zara zara...",Main Khiladi Tu Anari,https://www.imdb.com/title/tt0110438/,movie,6.5,175,1994,"Action, Comedy",5962,1994-09-23,Sameer Malkan
199,tt0164550,2021-03-02,2021-03-02,"This is one of those movies that have several good songs. Anu Malik.

Kathai Aankhon Wali Ek Ladki...

Ek Shrarat Hone Ko Hai...

Mere Mehboob Mere Sanam... (Personal favorite)",Duplicate,https://www.imdb.com/title/tt0164550/,movie,5.6,164,1998,"Action, Comedy, Crime, Thriller",7374,1998-05-08,Mahesh Bhatt
200,tt0065416,2021-03-02,2021-03-02,Roop tera mastana...,Aradhana,https://www.imdb.com/title/tt0065416/,movie,7.6,169,1969,"Drama, Musical, Romance",1796,1969-09-27,Shakti Samanta
201,tt0152256,2021-03-02,2021-03-02,"Saagar Kinare...

Chehra Hai Ya Chand Khila Hai...",Saagar,https://www.imdb.com/title/tt0152256/,movie,7.1,186,1985,"Drama, Romance",959,1985-08-09,Ramesh Sippy
202,tt0065936,2021-03-02,2021-03-02,Yeh jo mohabbat hai... Personal favorite,Kati Patang,https://www.imdb.com/title/tt0065936/,movie,7.2,167,1970,"Drama, Family, Musical, Romance",979,1970-12-31,Shakti Samanta
203,tt0066758,2021-03-02,2021-03-02,"Chingari koi bhadke... what a lyrics... Anand Bakshi

Yeh kya hua kaise hua kab hua... deep lyrics

Kuch to log kahenge... inspirational song",Amar Prem,https://www.imdb.com/title/tt0066758/,movie,8.2,143,1972,"Drama, Musical, Romance",1664,1972-01-28,Shakti Samanta
204,tt0246740,2021-03-02,2021-03-02,Mera Jeevan Kora Kagaz...,Kora Kagaz,https://www.imdb.com/title/tt0246740/,movie,7.4,125,1974,"Drama, Musical, Family, Romance",254,1974-05-04,Anil Ganguly
205,tt0072972,2021-03-02,2021-03-02,Main Pyaasa Tum... child song... beautiful,Faraar,https://www.imdb.com/title/tt0072972/,movie,6.9,136,1975,"Action, Crime, Drama, Romance, Thriller",331,1975-11-21,Shankar Mukherjee
206,tt0078241,2021-03-02,2021-03-02,Hum Bewafa Harghiz...,Shalimar,https://www.imdb.com/title/tt0078241/,movie,6.3,137,1978,"Action, Adventure, Crime",557,1978-12-31,Krishna Shah
207,tt0357926,2021-03-02,2021-03-02,Mere Mehboob Qayamat Hogi... Cult hit,Mr. X in Bombay,https://www.imdb.com/title/tt0357926/,movie,6.3,126,1964,"Romance, Sci-Fi, Thriller",130,,Shantilal Soni
208,tt0076167,2021-03-02,2021-03-02,Kya Hua Tera Wada... Personal favorite,Hum Kisise Kum Naheen,https://www.imdb.com/title/tt0076167/,movie,7.2,169,1977,"Action, Comedy, Drama, Musical, Romance",495,1977-08-25,Nasir Hussain
209,tt0061046,2021-03-02,2021-03-02,Baharo Phool Barsao...,Suraj,https://www.imdb.com/title/tt0061046/,movie,6.6,155,1966,"Romance, Musical, Action",139,1966-03-25,T. Prakash Rao
210,tt0147925,2021-03-02,2021-03-02,Dil Ke Jharoke Mein... Broken heart song,Brahmachari,https://www.imdb.com/title/tt0147925/,movie,6.8,157,1968,"Comedy, Drama, Musical, Family",395,1968-04-26,Bhappi Sonie
211,tt0074730,2021-03-02,2021-03-02,Kabhi Kabhie Mere Dil Mein... Mukesh...,Kabhie Kabhie,https://www.imdb.com/title/tt0074730/,movie,7.4,177,1976,"Drama, Romance",2057,1976-02-27,Yash Chopra
212,tt0058547,2021-03-02,2021-03-02,Dost Dost Na Raha... Cult hit,Sangam,https://www.imdb.com/title/tt0058547/,movie,7.5,238,1964,"Drama, Musical, Romance",1690,1964-06-18,Raj Kapoor
213,tt1043451,2021-03-02,2021-03-02,"Saiyan cherdebe nanad chutki leve sasural genda phool... may be my spelling mistake, but the song is good",Delhi-6,https://www.imdb.com/title/tt1043451/,movie,6.1,141,2009,Drama,7507,2009-02-18,Rakeysh Omprakash Mehra
214,tt0214931,2021-03-04,2021-03-04,"Poocho na yaar kya hua, unka deedar kya hua... what a song, though it's a revision of an old song but this version of Sonu Nigham I love very much. The video also.

The title song, uske siva kuch yaad nahin, mast...",Mast,https://www.imdb.com/title/tt0214931/,movie,5.4,153,1999,"Comedy, Musical, Romance",963,1999-10-15,Ram Gopal Varma
215,tt0109922,2021-03-04,2021-03-04,"Haye Hukku Haye Hukku Haaye Haaye... yeh ladki mere samne mera dil lie jay jay jay...

Mera mahbub ayega aha aha...

In those days, [link=nm0792911] was one of the top heroes in style, in action.

Cult dialogue, ""Mere do do baap""",Gopi Kishan,https://www.imdb.com/title/tt0109922/,movie,5.6,161,1994,"Action, Comedy, Drama",861,1994-12-02,Mukesh Duggal
